"Exp","DayOfImaging","Watering.Regime","Mean","NSFTV.ID"
"E2",13,"Low water",130092,"NSFTV_643"
"E2",14,"Control",288872,"NSFTV_643"
"E2",14,"Low water",131107,"NSFTV_643"
"E2",10,"Low water",105175,"NSFTV_643"
"E2",11,"Control",181615,"NSFTV_643"
"E2",16,"Low water",129225,"NSFTV_643"
"E2",12,"Control",209797,"NSFTV_643"
"E2",12,"Low water",118500,"NSFTV_643"
"E2",13,"Control",247970,"NSFTV_643"
"E2",11,"Low water",113579,"NSFTV_643"
"E2",21,"Low water",171941,"NSFTV_642"
"E1",8,"Low water",60135,"NSFTV_642"
"E1",9,"Control",83422,"NSFTV_642"
"E1",7,"Control",49969,"NSFTV_642"
"E1",7,"Low water",44136,"NSFTV_642"
"E1",8,"Control",67742,"NSFTV_642"
"E2",19,"Low water",162855,"NSFTV_642"
"E2",20,"Control",496442,"NSFTV_642"
"E2",20,"Low water",167597,"NSFTV_642"
"E2",21,"Control",577583,"NSFTV_642"
"E2",22,"Control",637821,"NSFTV_642"
"E2",22,"Low water",165538,"NSFTV_642"
"E2",23,"Control",699412,"NSFTV_642"
"E2",23,"Low water",174287,"NSFTV_642"
"E1",6,"Control",42223,"NSFTV_642"
"E1",6,"Low water",37066,"NSFTV_642"
"E2",18,"Control",415466,"NSFTV_642"
"E2",18,"Low water",161356,"NSFTV_642"
"E2",19,"Control",443772,"NSFTV_642"
"E3",13,"Low water",131160,"NSFTV_642"
"E3",14,"Control",193154,"NSFTV_642"
"E3",14,"Low water",146388,"NSFTV_642"
"E3",15,"Control",232352,"NSFTV_642"
"E3",9,"Control",79584,"NSFTV_642"
"E3",9,"Low water",83806,"NSFTV_642"
"E3",10,"Control",94217,"NSFTV_642"
"E3",10,"Low water",92893,"NSFTV_642"
"E3",11,"Control",117984,"NSFTV_642"
"E3",11,"Low water",112651,"NSFTV_642"
"E3",12,"Control",141258,"NSFTV_642"
"E3",12,"Low water",122759,"NSFTV_642"
"E3",13,"Control",168984,"NSFTV_642"
"E3",0,"Control",14700,"NSFTV_642"
"E3",0,"Low water",14003,"NSFTV_642"
"E3",1,"Control",17500,"NSFTV_642"
"E3",1,"Low water",16823,"NSFTV_642"
"E3",2,"Control",19243,"NSFTV_642"
"E3",2,"Low water",21140,"NSFTV_642"
"E3",3,"Control",24711,"NSFTV_642"
"E3",3,"Low water",26299,"NSFTV_642"
"E3",4,"Control",32075,"NSFTV_642"
"E3",4,"Low water",31894,"NSFTV_642"
"E3",5,"Control",35803,"NSFTV_642"
"E3",5,"Low water",37533,"NSFTV_642"
"E3",6,"Control",45916,"NSFTV_642"
"E3",6,"Low water",47133,"NSFTV_642"
"E3",7,"Control",59580,"NSFTV_642"
"E3",7,"Low water",59133,"NSFTV_642"
"E3",8,"Control",70300,"NSFTV_642"
"E3",8,"Low water",70071,"NSFTV_642"
