v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v
35827	26717	35818.5	56258	22729	24710	65479.5	98507	47419	48122	64256	39455	49643	59875	43210	64734	46311.5	66387.5	54534	44749	38386	57904	91284	40094.5	62347	61155	56653	56308.5	43349	23940.5	46204	48486	37922	43138	55875	65288	49570.5	40276	39002	47353	51002	23799	59053	46300	27844	31923	25713	46280	59777	63605	46219	68467	37434	22049	49335	39627	44867	36019	42785	50604	29947.5	54890.5	51586	28390	44124	51273	33064	66660	47935	44287	58299	42123	43443	42928	57139	35469	30199	47600	45624	41687	23945	20829	51754	53872	49429.5	35584	36252	34709	35296	68127	38517	55131	62668	49135.5	54227	50555	37176	42123	51822	67305	63382.5	59868	46001	34507	53345.5	20979	26942	17457	70000	43420	37525	54236	58590	53790	47417	50825	72430	63013	50500	86784	66039	17998	95345	66701	27936	40194	53566	42467	48237	79628	46930	44008	81219	44522	43432	35011	39442	43886.5	46665	33823	48260	23790	30910	82382	49792	66713	88123	51877	53673	70850	54510	57773	74010	50720	46971	26470	30570	58717	62604.5	33540	43196	51667	30806	45135	28722	21936	50425	48620	29402	28997	35257	73897	27252	49209	58097	50164	52094	86332	39428	25610	40975	60012	69458	45394	32096	40762	63755	71070	46316	36721	33916	50534	38704	39417	43366	56251	32086	19841	35334	35347	56677	62607	39443	38891	48330	45960	48451	34427	59349	65204	42470	48642	43999	42414	67857	54844	61329	50718	73934	74401	46813	32467	66019	58231	88613	37230	57302	75679	47884	46069	55105	61659	80504	72494	81114	65493	57003	50562	45737	55379	75130	47669	27673	56181	34089	35777	36794	36207	43808	90749	64371	67944	37988	55687	62104	38806	30654	50769	43136	18333	44227	70117	52358	33892	39556	80520	47151	43542	39289	39503	27684	31712	54488	75306	48218	50424	58937	46621.5	45261	54583	33916	48888.5	34894	32351	47715	35219	52498	34348	60509	76467	77210.5	52347	48420	58180.5	50142	28336	26147	48983	51011	25988	69966	28106	26775	69152	43897	41952	46793	28018	59223	39550	23170	71529	88791	32632	60577	45570	36319.5	29994	30679.5	20453.5	72598	49762.5	34194	53467	73380	39904	52937.5	54925	81824	34419	39818.5	34600	49366	39469.5	44860	58187.5	39421	37372	40071	42150	39075	64258	53951.5	41073	20655	35787	63222	40901	48247
38560	28599	38142	62562	26077	27193	65991.5	111952	51567	57691	71399	43231	52979	69973	45365	75912	54845.5	72954	63413	46199	45398	67911	98953	43166.5	67496	66892	60817.5	65425.5	48380	24384	50652.5	53335	42085	48590	63429.5	71963	54761.5	39942	42756.5	52441	55396	27958	68880	51492	29913	35918.5	27433.5	50567	67922	79268	57066	74515	38884	25569	56370	41780	47714	38973	50038	58180	32777.5	62635.5	57936	30508	48491	60614	39395	73752	54758	45602	57607	49682	44599	48818.5	65750.5	38863	30212	54098	48607	45470	26397	20246	54279	60783	51038.5	37903	37211	38732	40469	78302	44785	57616	66455	49835	56394	57542	41775	47391	55212	77161	72589	63641	48231	35708	57741.5	24039	26429	15842	78125	49881	39076	69217	62435	54164	50826	58791	82036	70195	54261	95676	80239	19915	107238	71755	31558	40075	67150	44583	54328	92180	50319	52062	98909	55958	48394	37920	39619	46338	53168	35744	52078	25808	35165	93310	63297	74032	100926	52664	55234	78833	59907	57839	81047	54461	48786	29156	30888	66106	71607.5	37740	49862	54624	33051	49071	31684	23100	57175	50208	32418	30360	36556.5	84012	30564	54380	58015	56430	55330	93554	43898	27694	43233	66122	72607	50538	36499	50631	68617	79173	54401	41363	34576	58902	41592	45359	47321	67691	36700	23199	35305	39783	68162	73603	47874	46829	59895	49256	50065	38723	64431	72378	49078	58894	51699	48472	80210	58964	70644	60777	80105	79981	54042	34214	74652	65208	98634	43106	61687	83435	53198	45241	61402	63595	91140	77285	88918	76370	58648	53934	56913	62917	82821	48301	28776	68086	38075	39577	35614	36817	48931	105885	70338	77265	44872	60518	68432	45140	33045	54401	42037	19739	47805	82476	43436	39931	39140	88472	53659	45491	41151	44348	29891	35884	58355	89474	53518	56888	62756	49302	48554	59525	33954	52920	37544.5	34332.5	53650	38941.5	56168.5	37877	65146	81763	85189	58488	54282	65204.5	58576	30699	26240	49648	54206	27963	81644	30885	28002	74975	48475	46737	47628	30194	70132	41037	25319	82360	94008	37545	63183	55382	41151	30030	33993.5	15225.5	76510	58293	38896	57151	83406	42063	56451.5	61627.5	86380	35521	43462	37113	53939	39464.5	49864	64070.5	39451	37335	45669	46999	40339	75250	55985	44968	25317	37262	67958	43277	53662
44192	35316	40303	68693	28755	30034	71087.5	128122	56725.5	70074	80643	53115.5	56804	86070	50933	89778	62547	78712.5	70582	48044	51180	75216	111185	50470.5	75267	77779.5	67124	75718.5	54420	27465	53210	55732	47990	57191.5	74223.5	81944	60428	45964	49284	55909	67414	32479	79640	60111	35646	41057	28345	64652	77189	89797	65111	86191	42549	28463	69317	46133	59701	41506	56450	67938	39051	69611.5	65463	33492	52467	67762	43341	80486	64576	51362	60099	53455	49816	58219	72455	42393	34924	59752	55953	49205	27473	22409	62120	67991	53142	41702	46576	43695	44846	89128	51723	63787	73229	55443	65864	64154	49444	55110	67008	89831	80496.5	67949	53844	42178	62518.5	27911	27645	19025	97116	63227	46780	74333	71433	62483.5	55447	74481	93802	81690	60073	106484	86679	22428	113582	84146	35207.5	43220	75869	49314	61711	109961	52779	53032	117690	70365	60729	43740	47103	50941	55099	40036	57135	27638	37651	106222	67889	81011	111061	57425.5	67775	97999	63141	61908	87668	59369	52147	33553	32155	71987	83248.5	44863	57009	59208	39493	50823	37922	26401	69495	55366	36904	33786	40698	96321	32436	56636	59882	61430	59555	104963	45029	31639	45552	79411	78467	54344	39325	61998	76502	92938	61702	43507	39837	61826	44978	56606	53603	81713	39260	26191	39141	41885	83169	82544	55877	57486	68503	55125	52212	42631	77509	81044	60708	65896	58948	59022	85422	66940	79313	78169	92598	91346	61737	39441	82571	75712	115759	48228	74024	94987	59352	50668	66583	70358	95562	87982	94972	86638	65615	59584	65147	72486	96237	50330	31122	76436	41071	45256	39977	41200	50249	119149	83348	84881	52038	63058	79541	53279	34231	61980	45880	22138	54354	95806	47024	40669	44594	104922	60506	33507	51336	48527	35120	41242	63132	105159	59547	64790	73377	59995.5	53678	66157	39674	60171.5	40010	39154	58501	41372	62011.5	39430	71431	93375	91166	60710	60740	74832	67122	33977	29305	52793	61901	30607	93405	34829	33227	78063	51112	50829	55800	34891	79529	46717	29007	88511	105175	41684	68455	61725	44612	36042	39825.5	18663.5	90951	63412.5	45741	62666	97525.5	46859	64370.5	68439.5	94122	38647	52928.5	43045	66420	41561.5	52586	71612.5	41392	43693	55563	51284	42852	89165	59679	49080	29704	41696	71502	47860	60803
45021	41800	45501	77709	31343	32603	75668.5	146224	57426.5	80938	84528	64634	63716	95716	52449	96066	71601	89511	71061	53923	56947	87746	121919	57751.5	91941	88495.5	72618.5	85107	62055	29758	64266.5	60700	54523	65994	89590.5	98497	69431.5	52669	56869.5	62349	84281	37012	87752	72018	41367	39585.5	33613.5	74416	83788	97576.5	69183	97177	50191	30921	77112	50553	68404	49336	69984	82760	42835	71188.5	71978	35136	60571	70191	48257	92630	75036	58058	64864	57803	56846	67005	79246.5	46777	41906	61743	65201	54065	30576	25361	78977	77871	58924.5	46067	52975	52652	49327	99878	59943	77110	80814	59922.5	74883	60716	51852	64027	75315	106868	87351	74518	58104	47196	72650.5	28256	34403	21694	102183	67256	48572	80145	75257	71010.5	60057	78271	106663	90658	66738	120287	103663	26013	123721	96190	36310	36909	84261	51894	66958	124529	54762	57908	137406	87001	68900	48056	57128	55428.5	59970	45433	61983	30622	43238	127127	70518	90702	124620	60679	77190	111002	69322	61718	92451	64356	56803	34913	32277	73943	94538.5	57174	58449	70673	44442	51956	40022	25657	76750	65514	36541	37908	47994.5	110027	34761	71398	60245	67426	65733	112642	48086	37508	49779	94042	90724	56934	42898	66533	84759	102728	68523.5	48684	46346	67503	51660	64887	53209	86856	41416	28516	44904	45361	89543	94571	59229	68343	73650	60901	59083	42938	86864	88383	67896	78767	77107	65178	88822	74122	84716	87655	102561	101602	69880	46312	83035	81360	131980	51420	80303	105265	68416	56930	69236	79455	104527	98433	107494	91741	72585	66124	76252	78671	131729	54556	30373	82279	42532	45673	43372	48683	50934	123548	91525	91233	61653	72289	92251	54553	36493	71921	45969	22563	54531	105782	49992	38399	48316	115033	69255	34682	57340	55324	39974	47256	61012	113089	66750	75589	82396	68038	60432	77113	47202	67168.5	39929.5	44104.5	62815	43450.5	66970.5	45010	83935	100791	95769.5	70917	62844	78692	75863	37742	33326	58154	78116	34824	99843	37537	39637	101513	53748	52033	69062	40331	87326	56308	31949	96098	113579	52002	73028	66591	47517	43939	45886.5	17145.5	105773	72350	54761	69695.5	112213	53216	73378	77398	102012	41081.5	58779.5	43713	82818	44792.5	56479	81073.5	45787	42107	62601	54883	45235	92961	66955.5	50943	34187	47320	76390	50820	67889
47760	47299	49818	81608	32946	33940	82215	152264	56809.5	85505	94740	70109	70454	97111	55606	106786	75593	101308.5	73335	55454	62036	99198	133988	59933.5	101775	92889	81244	90086.5	69373	30890	67512.5	63280	58127	68303	96486.5	110127	76513.5	56112	59099	67378	94100	40831	99617	75785	42299	40757.5	37117	81634	96187	104734.5	76154	101777	58482	33059	83778	53060	71461	53934	77243	92602	44597.5	73245.5	75604	35853	64770	74910	52305	101571	77149	61852	65401	62056	63208	72661.5	88683	52060	46860	67811	65239	57646	33646	25639	89557	84989	65974	48009	55370	55013	54592	102500	66893	83631	88215	62855	76735	70316	56296	68578	82488	113022	95408	84769	60203	51040	82126	30552	33941	22921	103528	73700	53895	67176	77443	77754.5	61410	82253	105107	98962	50507	134648	114587	28915	132722	102172	37019	40223	90499	53917	70782	136557	57104	46023	144972	88453	74930	47048	62141	58662	64187	47061	65406	33028	47457	140565	72896	100256	132470	61958.5	81674	116209	74008	64056	103101	66452	61902	35559	38117	78461	102292.5	59565	59610	73909	42741	56223	40395	26214	79380	67505	36097	38519	53693	116630	32293	78556	65121	70976	70559	118742	50502	38406	55827	100368	105915	59220	44511	68459	86975	113754	75628.5	51849	46767	73759	53220	66950	58600	84784	46330	27980	49120	49097	91063	102606	67772	72549	77299	65112	68144	43453	90929	90029	70511	84963	81428	67858	98430	80965	90789	93719	104110	108773	76190	52179	85401	85357	142775	52806	83559	117724	73389	64565	71741	83761	110331	97768	109187	106443	80804	73569	77305	87987	144972	60040	31707	93314	43501	47533	46083	51728	50487	132895	100294	105998	69993	78763	98815	55271	37963	77961	53897	24710	57978	111421	55348	42762	49454	129787	73620	35750	50696	56430	42599	45199	63140	116650	69640	86910	91053	72618.5	62856	83354	51391	77844.5	41417	48703	61570	44137.5	73916	49703	92339	106593	99639.5	69689	66585	89529	81972	39025	33382	64062	88174	36836	102960	38917	42152	115342	57503	52727	76452	43875	92486	62108	32655	107257	118500	55090	76817	70691	53137.5	48228	49105.5	18477.5	114480	79077.5	58917	77929.5	121086	62184	78828.5	85346	102372	42439.5	61510	47238	89097	47719.5	59359	86615	47009	44327	65041	57980	46739	100087	73261.5	54022	33793	50544	80226	53899	68790
50562	52966	54561.5	90769	36870	36159	95282	161143	60737.5	90708	110436	76784	81624	101533	58390	122142	79162.5	113033	73498	55004	70410	110079	143509	63048.5	115330	104216	88297	105747	74855	33803	78220.5	67729	60385	73737.5	102562.5	111389	88086.5	55247	63958	72540	101981	46389	110508	79695	44077	41008.5	42240.5	84113	103409	116498	89413	112332	63894	36078	91597	55936	78131	57387	83951	106268	48643.5	77333.5	78715	39924	67132	82110	57499	107658	85145	67992	72220	65464	67052	74690.5	98836.5	60362	51774	75073	70124	62129	36130	27740	102450	88230	75153	54275	63891	56782	65129	115464	70131	96945	96541	67832	76149	75684	61000	72744	88959	118486	102557	95571	59861	55363	92106.5	35691	23941	23255	105612	73036	64875	78364	81162	87436	68791	86429	121624	107594	57859	152824	127521	28898	141228	109266	41566.5	44660	93775	57196	71888	146234	60280	54049	154563	96202	80185	50189	64413	63561	74529	50946	73011	36358	49433	156354	78290	121427	142152	64380.5	90696	127541	79460	78365	118711	75372	65797	35230	43351	86725	113224.5	62739	61746	84377	44489	62339	40275	27100	85576	72700	35413	43873	60849	123078	39011	86421	67545	73021	79720	130342	54048	42402	61341	112723	115055	64265	44632	82711	97419	128315	83182	58710	48486	75617	56161	76881	63016	86961	46748	29935	52515	56250	93326	112117	74445	78869	83226	71992	75932	43954	100107	100891	76150	90505	85301	73747	109697	92562	109620	100544	113009	115767	84751	65720	86144	90754	149106	50671	91146	123033	77864	72781	75057	91630	126531	108195	113403	116694	86807	86822	81163	101490	152031	67415	35093.5	114711	51580	49110	48901	54699	50449	140819	108323	111047	79831	91534	103613	58401	41791	81473	59485	27560	62044	128581	57331	45500	51410	140814	78293	37162	57260	62910	48220	52522	69262	120916	70013	96137	94680	76416.5	63465	85616	58820	82674.5	46151.5	48093.5	68246	51936.5	82357	54209	106243	119123	111342	72465	71818	102046	94589	39619	37509	71450	95818	39525	109013	45237	45888	122756	58612	55889	80083	48467	96603	66346	33448	113463	130092	54573	87165	79142	61248	54800	54897	22234.5	127743	82616	63511	87050	132662	68585	84988	93366.5	105552	46288.5	66164	49980	94832	51276	58693	91598.5	51624	52087	67767	62124	46277	103801	81822.5	59920	35033	54358	83640	59594	76270
54943	58160	61188.5	98606	41822	36692	106441.5	174362	64038	105723	115330	80394.5	87024	101081	65544	138449	84140	128911.5	81593	59298	79670	116568	160504	69676	123612	116569	96363.5	117707.5	82499	37223.5	82300.5	76957	65591	77327	108847	123867	94785	57621	71153	91674	120059	55328	129272	82277	47173	44222	45396.5	92737	118533	134678	106298	122624	63935	41000	107423	62439	82004	62734	93404	115145	51037.5	82370.5	88068	43261	73334	88408	65413	116718	93785	78703	78525	75755	77178	78624.5	109074.5	62270	48919	88287	65261	68334	41721	32180	106719	100006	81114	57822	65609	59808	76851	121505	72171	103644	104529	70269	86696	79969	68124	79761	94149	128775	114364.5	102961	57810	55733	99572	39850	25399	24276	114859	54545	74374	92232	90732	93831.5	75987	86209	130217	117372	49316	168825	134634	30822	150982	121167	47213	51293	95540	58467	74941	162589	66822	62433	166353	111135	83275	52926	63929	65953	87648	53655	77107	41115	54085	170479	78725	137927	146035	73842.5	93936	143421	81622	79081	131138	75928	72038	33728	45042	104310	116499.5	64502	70320	88724	49635	65440	42038	30150	94121	78118	34576	45032	65230.5	136200	41656	94121	62800	77005	90897	141588	56824	47982	69277	117581	130480	70331	46191	93836	105688	134452	95866.5	77096	47320	77809	61927	83671	71280	85848	47167	31533	58655	64018	97113	123459	85684	84114	98172	77549	81814	44613	108065	110511	82050	96919	93302	77076	121159	97655	118071	113013	117837	125250	96835	72311	92643	97369	154541	54023	100988	131306	82909	80834	89417	99370	134030	114522	118331	128607	95961	95209	85459	115782	164789	70391	37748.5	130249	59184	52697	52558	60571	48611	148947	116456	116586	83363	105535	101702	61430	42945	90906	64733	29272	66932	144333	61273	51388	52520	150282	89758	41559	60337	69539	53608	59540	74969	120871	71523	103881	99704	80810	67273	91641	65309	88835	46863.5	52155.5	68629	54178.5	92265.5	62395	113781	122958	115524	77746	79461	111155	105413	41420	38232	78063	106986	42301	123131	48331	48413	130620	61609	66226	83479	52473	107557	68352	33220	124482	131107	65789	92402	88959	69125	51996	60237.5	22514	130331	90788.5	70817	91216.5	141005	68657	97295	100823	110126	52257.5	75212	57465	101411	53827.5	62585	98587.5	55166	58239	69727	66800	46128	125436	83447	62828	38183	54980	88125	61984	80344
62219	61152	67670.5	106573	47898	38012	116948	185781	68457.5	113318	123186	93791.5	94392	109203	72139	164459	92720	141840.5	90222	67039	86812	114792	171860	79270	131302	127489.5	101623.5	130410.5	87027	39718.5	85519.5	84928	69791	83463	112570	136111	97836	64807	80173.5	93172	130503	57888	137751	86171	52133	48646.5	46889.5	101601	129732	150469.5	115499	134747	66103	47368	119441	62768	88008	67231	101380	120786	53865.5	89706	100146	46451	82412	97494	72050	121515	102861	81815	83107	77767	81951	70164.5	117643	64053	51683	102127	66473	72632	47527	41493	114968	105860	87722	60073	75956	62413	83730	122645	76504	107198	112247	77594.5	93405	84789	77572	85659	98397	137071	117387.5	106160	53395	57141	102514.5	43896	29880	26998	128702	62493	80159	115244	95692	96261.5	84052	86159	136532	124683	58231	171729	149181	31065	160885	130381	52650.5	54192	94256	64489	75078	169490	72387	63326	179088	132400	93470	59931	65787	67741	93908	56164	84748	43657	56534	185455	87587	151946	148958	77509.5	99637	156616	85052	89024	126842	84783	74725	33392	45042	112667	128005.5	63455	72782	90992	53624	72390	43402	30235	101914	86212	34315	48483	70879	144723	43450	97037	68394	81895	97696	151647	63368	50530	75009	113063	133997	78300	49160	101461	113720	146351	104469	74135	50237	83992	67469	94762	79569	93279	47112	36398	60587	67235	101408	133873	96498	89763	109640	80600	85328	44871	116492	117999	90564	112958	101541	90293	131720	103473	123655	125893	128902	128347	102752	74090	101448	107388	164089	59653	103065	138692	87863	82689	104115	111694	133318	109499	126806	143436	96247	97046	92159	125958	166389	77416	39535	146655	63552	57278	57209	65813	48073	150778	126691	132954	97274	109463	108816	64700	45609	91894	70198	35168	74775	148339	68684	58713	55362	171360	96982	46654	64633	82151	56802	68022	82270	128743	71834	116946	108626	84973.5	69714	100297	72203	93903.5	49977	59724.5	76270	57845	96136.5	65273	114837	130997	122760	78566	88356	125671	121477	41766	39078	79143	115844	45669	124712	51379	51666	139915	67174	71314	92201	58786	115649	71716	35070	136457	134136	67183	97464	97208	75834	55359	66178	23375	142088	100114.5	75853	106685.5	147548	72918	103585	105430.5	114656	55488.5	82653.5	65650	113070	54895	64347	108999.5	58992	64702	73450	67417	48213	141158	86912	64757	43442	55323	93712	66232	85772
66873	64763	71576	113617	51755	40941	128056.5	207579	69347.5	121181	129066	102282.5	97078	109937	75874	169935	98143	155701.5	99013	71910	90713	126203	187108	88143	138680	132711.5	104277	140219.5	93623	42447	88355.5	91635	77794	89518	118729.5	146389	105741	71988	86138	104651	140552	54473	147760	97815	58572	54482.5	48849	115237	142575	156736	120581	142905	64982	56678	134261	70110	101722	72915	119459	132741	55958.5	99196.5	109427	50065	88623	111068	78701	125837	109292	85522	85903	79789	86443	65348	129317	68823	53970	116338	66777	74519	51103	44623	130657	117832	87407.5	60148	82303	65320	81601	124849	86099	116173	116681	78844.5	99591	86286	82708	90957	102836	159673	125226.5	109999	51212	60059	105140	48665	36200	30106	143916	61289	84093	123293	95347	100971	87759	85433	138562	131961	65026	171973	154967	31033	162760	139421	60400	54464	95958	65481	74810	181704	73352	56611	193050	148807	99329	71965	70254	71863	97893	61004	92411	47112	62538	198960	88931	163152	154614	82518.5	102308	171316	89707	91967	141761	83446	84028	32878	42707	128384	141693	63375	75370	93708	60225	76445	45436	32806	105096	94432	34802	53118	77420	154758	45162	98615	67160	92346	104114	156375	67517	56971	76216	103246	139413	81765	54387	108064	118712	147344	111027	76259	52306	88191	69997	105426	81284	100784	47385	40998	61117	69138	106726	144594	104962	97860	110132	87013	87446	45285	127528	125833	99947	125414	116431	103769	136261	104191	131504	139549	133170	129478	116207	79625	108282	112225	171200	68504	106030	151477	95011	90576	115557	114741	134675	115720	139581	143545	94623	102376	96516	133408	184852	78703	41074.5	156074	63850	61388	59431	68576	50388	151599	138182	138813	110160	122476	106867	72210	51662	94348	76899	37154	79220	151803	76465	63825	57181	178599	101134	52282	71848	85775	61968	76099	86902	137343	74368	126294	110304	94411.5	72694	107202	79915	103193	49099.5	65634.5	80432	61610.5	93944.5	66192	121248	137182	123625	88013	95862	130513.5	131830	43083	45295	79920	124816	45473	131562	56075	55987	149120	74383	69850	102668	63582	118355	70781	35853	145357	129225	74901	100363	102003	80613.5	56919	72409	26534.5	152939	109001.5	80674	109556.5	147894	74132	109509	109952.5	117683	58946.5	91423.5	70718	125925	58047	67746	118457	60640	71848	78735	69755	48032	151434	89017	66831	50129	64184	102338	67693	90762
70257	68545	74338	118725	53843	41934	127096.5	215319	70970	125587	120120	115359.5	102214	106461	81142	175485	102856.5	160706.5	105380	80388	100247	142300	191592	95663	147233	134299	105788	143657.5	99113	45673	91305.5	96466	83685	97481.5	121148	153992	113907.5	76589	93059.5	116059	157191	58482	157731	109647	64799	55509	52215	122645	147509	156245	121500	141208	58958	57161	146385	74229	104213	80229	137289	146642	56156	109568.5	112941	52977	91420	121213	84743	129378	117734	88811	85824	82698	97662	74953	141674	75614	54009	132784	64210	78148	59423	46006	150814	129704	92751	61137	90421	68051	79034	126779	86654	121532	124875	76190.5	100782	87516	87849	95327	109144	168033	131722	114950	53145	62191	107337.5	52054	41594	33069	140038	64661	90450	121122	93740	100898.5	90002	87831	140072	140448	56112	185715	156847	32090	158739	147653	67081.5	53399	97605	66300	73966	181314	75894	63438	201188	158284	104124	79668	76697	72728.5	102195	61871	97878	49936	61652	209704	92956	171101	146788	86756.5	99294	176893	95970	99721	150742	86573	82844	28867	42112	137487	161696.5	67531	71071	96051	69218	72303	50211	34508	107704	107295	36362	52609	90984.5	168078	44962	100049	69521	106908	113720	152317	70822	61436	79373	100502	129550	84691	59458	118995	126110	145456	118735.5	79561	57378	90621	77336	104504	86271	103657	49367	45234	60165	71358	109821	159676	111532	102833	121788	90348	89407	47539	131712	129131	108782	129716	135415	108083	143985	99930	134870	155714	134372	113495	125205	87654	115587	117647	168395	68808	125846	162582	103579	100133	122282	120453	133470	113629	143709	147997	96690	111001	102747	131972	194098	80052	43184.5	160579	64093	59683	61691	74811	54070	150484	141293	141466	122204	139149	104866	77072	52772	95767	79455	36828	73020	157478	74769	69108	58525	194306	99680	50220	74656	92810	68609	80396	91879	142227	74837	143112	116494	100554.5	75806	111476	85570	106422	52126.5	69250	82973	65178	99294	71701	126532	137010	127347.5	97507	101019	136464	141662	43208	47526	79437	136199	47083	140363	61776	58976	156972	82192	66784	103209	66830	125003	70990	40085	155882	122693	82921	97242	106927	85638.5	59756	79818	27857	158555	118456	87871	107868	150848	74995	113358	113509	121861	60551	96669.5	74523	135124	59879.5	72702	124472.5	59030	79956	82189	72430	51376	156823	86749	70748	52925	70312	106235	70346	88237
70783	69028	77836.5	120510	60041	45357	133354.5	226276	78998.5	132317	142418	124964	108916	116351	81786	176532	112894	176650.5	109631	92091	108773	153452	199119	107763.5	153477	143647.5	104635.5	149839	100435	44542	94263.5	99863	92597	104750.5	134635	156272	123878.5	85093	94562.5	120419	171020	67494	160451	115519	74345	55124.5	56258.5	134860	162234	157797.5	133442	155245	61917	67059	154203	79660	116333	87288	154917	146728	55237.5	113341.5	124376	55992	96709	122682	93330	138252	124241	94404	92875	88597	109824	78498	155013.5	85850	57523	140536	70709	87886	59362	48827	175752	134538	97832.5	60194	98387	70794	87592	134790	96098	133479	130734	64342.5	108352	97088	91169	101516	106688	175466	135126	118436	57594	61799	112312	58047	45234	34723	152257	44828	88556	134082	109385	105609.5	103003	85005	138363	143381	60227	198501	170036	33997	168035	157513	70214	66077	98571	64915	78091	190278	76993	74307	207345	163668	106326	85631	85965	75509.5	109198	66937	99053	51427	67764	218780	94589	189958	168329	89626	87118	182298	96644	97562	147902	83135	83552	29289	44894	145296	172918.5	70311	74791	109558	78725	75796	53614	36005	115731	123946	37903	55941	102470.5	178258	52261	110909	77704	114887	118892	169402	75659	65115	79831	117366	133974	93906	64583	129381	134602	140121	122046	90301	59223	86958	82200	121032	73130	123246	52393	52227	67197	75551	122187	177693	123197	119564	123202	99364	91536	50934	138530	136040	114944	139223	155265	114432	150150	103957	141858	167143	150494	131391	140067	88896	123169	122490	176813	71586	137491	163717	109572	106547	130084	122705	147385	128647	160696	157009	103326	125639	91665	131075	204592	83459	43281	165693	65305	66484	64144	84517	56244	162258	147034	138910	131034	151451	114357	76605	58578	101791	80987	37930	76019	156580	81673	69944	59890	193968	105733	55345	78988	93901	75384	81211	93300	140797	73566	164961	112688	108042.5	87292	115495	100022	110322	55095	74649	88299	69568	106043.5	74171	138738	145773	132006	115518	101121	141561	148120	47049	53439	83757	152888	48437	153044	65236	66904	161881	86720	68993	117678	79482	126622	70101	45422	161356	139885	91647	105316	109815	90868.5	64770	88993	32048.5	157220	121738	93963	113246.5	153645.5	71143	118376	115825	126609	63516	104368.5	74648	149793	62333.5	75603	122740.5	69417	95807	87426	79837	52194	161989	91679	79959	54291	82864	107868	72131	102698
73805	71727	80053.5	125228	71876	49081	137091.5	237823	77501	132886	152333	132238	114509	125066	83751	177971	120447	176537.5	111833	100554	115092	165962	213873	110602.5	158807	143719	107607	154701	108672	46182	98287	99749	89016	107174.5	135066.5	157978	130473.5	89563	100773	126814	182422	75519	164870	126442	76666	60471	59020.5	144318	154210	172379	145003	165773	62582	67037	158102	82086	123361	94706	170150	154765	57988	114526.5	118993	52396	99464	132159	100538	142469	130205	98308	89175	87928	120628	82819.5	166182	90021	63814	143240	78105	82868	62258	45978	194082	132914	103924	61529	111671	68508	99563	128104	104022	147307	126702	70437	124261	97546	94411	103730	114760	180559	134872.5	121505	56496	68470	115416	59946	46904	38792	167286	54855	99756	137056	98335	104356	106006	89448	141164	144598	56954	194872	186450	33310	184876	160085	74329	62015	105215	68322	71864	205425	74945	74433	205636	167481	112881	92229	88779	78431	115566	74476	106700	52876	71367	217248	100581	208842	172377	94523.5	104451	182675	102510	103641	144679	87028	84762	30092	43182	144830	181991.5	74708	77805	103970	83384	77114	51718	34914	105309	133193	37304	62548	111223	186916	49796	122801	84710	129014	124954	184506	79380	66548	80307	113740	137864	98167	65978	131844	146184	160173	128408.5	94632	63583	85585	83824	124009	80038	117806	52603	49518	65476	81269	125039	184956	135013	114038	129895	97151	96077	51855	145633	141105	122280	150064	169939	121940	149928	115157	144427	165877	160176	141253	145993	92330	123780	132993	196885	69670	146343	166433	113531	106684	135581	128419	139223	116524	160298	166334	101383	123402	99074	142929	215313	86875	47715.5	184396	66399	72274	67200	90123	54138	178117	156012	147868	138236	157604	120895	83447	59044	95175	85606	38712	79501	156514	84970	67806	63062	196302	108355	58435	84218	96216	74271	80692	101363	142231	72418	174258	113963	117824	87192	124637	107614	115972	56465	76519	89953	71859.5	106064.5	75689	136904	143990	141819	116239	103113	148489	157507	47153	53307	82848	165521	52496	153886	73772	70864	163194	89310	71767	127548	83701	129407	65562	53025	162855	149909	98641	103941	117367	93866	72718	93694.5	34741.5	164704	126582	98612	117199.5	162692	69579	120475.5	118345	125149	64009.5	106587.5	75225	154613	64071	76621	137226.5	70110	105211	91341	84764	55195	159511	97369.5	88102	55356	83609	112827	79922	110256
